naptari_ev_het,arbevetel,akcio_p-v,akcio_h-sz,jatekar,fonyeremeny
201901,50510648,0,0,160,603
201902,58436405,1,0,160,645
201903,61773560,0,1,160,698
201904,63802345,0,0,160,743
201905,65979753,0,0,160,802
201906,70669502,1,0,160,862
201907,72472890,0,1,160,921
201908,71078387,0,0,160,977
201909,72138077,0,0,160,1039
201910,76973822,1,0,160,1097
201911,78107674,0,1,160,1163
201912,77338798,0,0,160,1226
201913,78184254,0,0,160,1290
201914,84503186,1,0,160,1355
201915,88464699,0,1,160,1424
201916,85266435,0,0,160,1497
201917,48550756,0,0,160,36
201918,49344647,0,0,160,80
201919,52744831,1,0,160,123
201920,52129398,0,1,160,166
201921,49559761,0,0,160,205
201922,48189228,0,0,160,246
201923,50910638,1,0,160,287
201924,51726961,0,1,160,330
201925,51016008,0,0,160,371
201926,51026187,0,0,160,413
201927,47159373,1,0,160,36
201928,50353249,0,1,160,76
201929,48437834,0,0,160,116
201930,47137419,0,0,160,159
201931,47966084,0,0,160,196
201932,49567791,1,0,160,236
201933,51666693,0,1,160,276
201934,47630227,0,0,160,315
201935,48115155,0,0,160,356
201936,53342308,1,0,160,399
201937,60688363,0,1,160,442
201938,52318364,0,0,160,488
201939,52128592,0,0,160,531
201940,53380143,0,0,160,574
201941,56496304,1,0,160,624
201942,55990585,0,1,160,664
201943,53558213,0,0,160,713
201944,52252753,0,0,160,757
201945,56686434,1,0,160,802
201946,58487493,0,1,160,844
201947,56007257,0,0,160,894
201948,55553029,0,0,160,941
201949,58281782,1,0,160,984
201950,65982574,0,1,160,1034
201951,64611534,0,0,160,1077
201952,58964377,0,0,160,1138
202001,72076180,0,0,200,1204
202002,78813045,1,0,200,1285
202003,80260387,0,1,200,1364
202004,82322634,0,0,200,1436
202005,83994031,0,0,200,1523
202006,54744297,1,0,200,54
202007,57119700,0,1,200,144
202008,54724721,0,0,200,203
202009,50872209,0,0,200,258
202010,57147837,1,0,200,312
202011,59257223,0,1,200,359
202012,57732025,0,0,200,406
202013,55615368,0,0,200,455
202014,53767396,1,0,200,61
202015,54050213,0,1,200,144
202016,54748398,0,0,200,215
202017,57331844,0,0,200,301
202018,53567915,0,0,200,57
202019,55854090,1,0,200,126
202020,54828546,0,1,200,61
202021,53360893,0,0,200,130
202022,54938047,0,0,200,190
202023,56274384,1,0,200,251
202024,57847043,0,1,200,319
202025,57215196,0,0,200,359
202026,56073309,0,0,200,435
202027,58019194,0,0,200,495
202028,61726761,1,0,200,551
202029,62125313,0,1,200,609
202030,51927287,0,0,200,54
202031,51916039,0,0,200,141
202032,56333971,1,0,200,210
202033,58429566,0,1,200,286
202034,54883870,0,0,200,359
202035,55503394,0,0,200,431
202036,57458361,1,0,200,496
202037,61253006,0,1,200,569
202038,61923574,0,0,200,635
202039,60269281,0,0,200,700
202040,59326588,1,0,200,775
202041,63091629,0,1,200,840
202042,66041137,0,0,200,890
202043,64407691,0,0,200,951
202044,62869706,0,0,200,1005
202045,65946518,1,0,200,1059
202046,75985772,0,1,200,1113
202047,68415591,1,0,200,1185
202048,66868543,0,1,200,1235
202049,69792136,1,0,200,1292
202050,72136877,0,1,200,1346
202051,74699315,0,0,200,1411
202052,50613033,0,0,200,47
202053,57958157,0,0,200,106
202101,58647602,1,0,200,180
202102,59541186,0,1,200,261
202103,58954795,0,0,200,337
202104,58420199,0,0,200,409
202105,61687879,1,0,200,479
202106,63977242,0,1,200,558
202107,62442248,0,0,200,628
202108,61790628,0,0,200,700
202109,65261748,1,0,200,765
202110,64936180,0,1,200,826
202111,62568657,0,0,200,898
202112,62080126,0,0,200,955
202113,62961315,0,0,200,1029
202114,54744297,1,0,200,54
202115,57119700,0,1,200,144
202116,54724721,0,0,200,203
202117,50872209,0,0,200,258
202118,57147837,1,0,200,312
202119,59257223,0,1,200,359
202120,57732025,0,0,200,406
202121,55615368,0,0,200,455
202122,56792664,1,0,200,503
202123,53648295,0,1,200,72
202124,52048538,0,0,200,134
202125,51111486,0,0,200,194
202126,52893496,1,0,200,244
202127,54084278,0,1,200,294
202128,54416437,0,0,200,341
202129,54364677,0,0,200,388
202130,53437136,0,0,200,431
202131,56108627,1,0,200,479
202132,58124219,0,1,200,72
202133,50036994,0,0,200,144
202134,52032347,0,0,200,199
202135,52727506,1,0,200,250
202136,55061465,0,1,200,304
202137,52778281,0,0,200,348
202138,52823844,0,0,200,395
202139,53543432,0,0,200,435
202140,56183742,1,0,200,485
202141,57403287,0,1,200,529
202142,52074131,0,0,200,574
202143,54661839,0,0,200,620
202144,56616143,1,0,200,671
202145,61077578,0,1,200,718
202146,59304792,0,0,200,768
202147,58119329,0,0,200,816
202148,60510941,0,0,200,865
202149,61282665,0,0,200,917
202150,63720001,0,0,200,969
202151,60806331,0,0,200,1021
202152,68213817,0,0,200,1077
